risk_of_physical_damage: warning | altitude: 5.0 | battery_level: 40.0 | normal_frame: 0.0 | wind_speed: 19.0 | battery_level: 40.0 | object_inpath:true | object_distance: 7 | object_name: tree 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [5.0],slot:altitude,values: [5.0]| act:INFORM,canonical_values: [40.0],slot:battery_level,values: [40.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [19.0],slot:wind_speed,values: [19.0]| act:INFORM,canonical_values: [40.0],slot:battery_level,values: [40.0]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [7],slot:object_distance,values: [7]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying in strong wind at an altitude of 5m.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 7m. 
risk_of_physical_damage: warning | normal_frame: 0.0 | object_distance: 1 | pilot_experienced: 0.0 | object_distance: 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [0.0],slot:pilot_experienced,values: [0.0]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's water only 1m away. 
risk_of_physical_damage: warning | altitude: 20.0 | battery_level: 30.0 | normal_frame: 0.0 | object_inpath:true | object_distance: 3 | object_name: stairs   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [20.0],slot:altitude,values: [20.0]| act:INFORM,canonical_values: [30.0],slot:battery_level,values: [30.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [3],slot:object_distance,values: [3]| act:INFORM,canonical_values: [stairs],slot:object_name,values: [stairs]|| Risk of Physical Damage! The drone has a damaged frame and low battery. It is flying at an altitude of 20m.     Risk of Physical Damage! There are stairs in the drone's flight path at a distance of 3m.
risk_of_physical_damage: informative | altitude: 1.0 | battery_level: 20.0   |   act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]|| Risk of physical damage! The drone has low battery. It's flying at an altitude of 1m. 
risk_of_physical_damage: warning | normal_frame: False | object_distance: 0.5 | object_distance: 0.5 | object_type: Car   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [False],slot:normal_frame,values: [False]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [Car],slot:object_type,values: [Car]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a car only .5m away. 
risk_of_physical_damage: warning | object_distance: 0.5 | altitude: 3.0 | battery_level: 0.0 | normal_frame: 0.0 | object_name: sailboat 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [3.0],slot:altitude,values: [3.0]| act:INFORM,canonical_values: [0.0],slot:battery_level,values: [0.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [sailboat 1],slot:object_name,values: [sailboat 1]|| Risk of physical damage! The drone has a damaged frame and empty battery. It's flying at an altitude of 3m.     Risk of physical damage! There's a sailboat only .5m away. 
risk_of_physical_damage: warning | object_distance: 1 | pilot_experienced: 0.0 | object_distance: 1 | upside_down: 1.0 | pilot_experienced: 0.0 | altitude: 5.0 | battery_level: 0.0 | object_name: ruin   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [0.0],slot:pilot_experienced,values: [0.0]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [1.0],slot:upside_down,values: [1.0]| act:INFORM,canonical_values: [0.0],slot:pilot_experienced,values: [0.0]| act:INFORM,canonical_values: [5.0],slot:altitude,values: [5.0]| act:INFORM,canonical_values: [0.0],slot:battery_level,values: [0.0]| act:INFORM,canonical_values: [ruin],slot:object_name,values: [ruin]|| Risk of physical damage! The drone has an empty battery. It's flying upside down at an altitude of 5m.    Risk of physical damage! There's a ruin only 1m away. 
risk_of_physical_damage: warning | object_distance: 0.5 | pilot_experienced: 0.0 | object_distance: 0.5 | altitude: 5.0 | battery_level: 30.0 | object_name: storehouse 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [0.0],slot:pilot_experienced,values: [0.0]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [5.0],slot:altitude,values: [5.0]| act:INFORM,canonical_values: [30.0],slot:battery_level,values: [30.0]| act:INFORM,canonical_values: [storehouse 1],slot:object_name,values: [storehouse 1]|| Risk of physical damage! The drone has low battery. It's flying at an altitude of 5m.     Risk of physical damage! There's a storehouse in the drone's flight path at a distance of 6m. There's also another storehouse only .5m away. 
risk_of_physical_damage: warning | normal_frame: False | object_distance: 1 | pilot_experienced: False | object_distance: 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [False],slot:normal_frame,values: [False]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a waterfall only 1m away. 
risk_of_physical_damage: warning | altitude: 5.0 | battery_level: 0.0 | temperature: 8.0 | battery_level: 0.0 | object_inpath:true | object_distance: 5 | object_name: tree 2   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [5.0],slot:altitude,values: [5.0]| act:INFORM,canonical_values: [0.0],slot:battery_level,values: [0.0]| act:INFORM,canonical_values: [8.0],slot:temperature,values: [8.0]| act:INFORM,canonical_values: [0.0],slot:battery_level,values: [0.0]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [tree 2],slot:object_name,values: [tree 2]|| Risk of physical damage! The drone has an empty battery. It's flying at an altitude of 5m in a low-temperature setting.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 5m. 
risk_of_physical_damage: warning | object_distance: 2 | pilot_experienced: 0.0 | object_distance: 2 | normal_frame: 0.0 | object_name: storehouse with an exhaust vent   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [0.0],slot:pilot_experienced,values: [0.0]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [storehouse with an exhaust vent],slot:object_name,values: [storehouse with an exhaust vent]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a storehouse with an exhaust vent only 2m away. 
risk_of_physical_damage: warning | altitude: 5.0 | battery_level: 10.0 | normal_frame: 0.0 | object_inpath:true | object_distance: 5 | object_name: tree 2   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [5.0],slot:altitude,values: [5.0]| act:INFORM,canonical_values: [10.0],slot:battery_level,values: [10.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [tree 2],slot:object_name,values: [tree 2]|| Risk of physical damage! The drone has a damaged frame and empty battery. It's flying at an altitude of 5m.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 5m. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 3 | object_name: speed boat   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [3],slot:object_distance,values: [3]| act:INFORM,canonical_values: [speed boat],slot:object_name,values: [speed boat] || Risk of physical damage! There's a speedboat in the drone's flight path at a distance of 3m. 
risk_of_physical_damage: warning | object_distance: 2 | going_backwards: True | indoor: True | normal_frame: False   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [True],slot:going_backwards,values: [True]| act:INFORM,canonical_values: [True],slot:indoor,values: [True]| act:INFORM,canonical_values: [False],slot:normal_frame,values: [False]|| Risk of physical damage! The drone has a damaged frame and is flying indoors. It's also flying backwards.     Risk of physical damage! There's a building only 2m away. 
risk_of_physical_damage: informative | object_inpath:true | object_distance: 5 | object_name: tree 2   |   act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [tree 2],slot:object_name,values: [tree 2] || Risk of physical damage! There's a tree in the drone's flight path at a distance of 5m. 
risk_of_physical_damage: warning | object_distance: 2 | object_inpath:true | object_distance: 2 | object_name: bench   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [bench],slot:object_name,values: [bench] || Risk of physical damage! There's a bench in the drone's flight path at a distance of 2m. 
risk_of_physical_damage: warning | normal_frame: False | object_distance: 0.3 | object_distance: 0.3 | object_type: Car | object_inpath:true | object_distance: 0.3   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [False],slot:normal_frame,values: [False]| act:INFORM,canonical_values: [0.3],slot:object_distance,values: [0.3]| act:INFORM,canonical_values: [0.3],slot:object_distance,values: [0.3]| act:INFORM,canonical_values: [Car],slot:object_type,values: [Car]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [0.3],slot:object_distance,values: [0.3]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a car in the drone's flight path at a distance of .3m. 
risk_of_physical_damage: warning | object_distance: 0.2 | object_distance: 0.2 | object_type: Car | object_inpath:true | object_distance: 0.2   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.2],slot:object_distance,values: [0.2]| act:INFORM,canonical_values: [0.2],slot:object_distance,values: [0.2]| act:INFORM,canonical_values: [Car],slot:object_type,values: [Car]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [0.2],slot:object_distance,values: [0.2] || Risk of physical damage! There's a car in the drone's flight path at a distance of .2m. 
risk_of_physical_damage: warning | object_distance: 1 | object_distance: 1 | object_type: Car | going_backwards: True | altitude: 3.0 | battery_level: 30.0 | normal_frame: False | object_name: car   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [Car],slot:object_type,values: [Car]| act:INFORM,canonical_values: [True],slot:going_backwards,values: [True]| act:INFORM,canonical_values: [3.0],slot:altitude,values: [3.0]| act:INFORM,canonical_values: [30.0],slot:battery_level,values: [30.0]| act:INFORM,canonical_values: [False],slot:normal_frame,values: [False]| act:INFORM,canonical_values: [car],slot:object_name,values: [car]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying backwards and at an altitude of 3m.     Risk of physical damage! There's a car only 1m away. 
risk_of_physical_damage: warning | altitude: 1.0 | battery_level: 20.0 | normal_frame: False   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [False],slot:normal_frame,values: [False]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 1m. 
risk_of_physical_damage: advisory | object_distance: 1 | pilot_experienced: 0.0 | object_distance: 1 | object_name: building 1   |   act:INFORM,canonical_values: [advisory],slot:risk_of_physical_damage,values: [advisory]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [0.0],slot:pilot_experienced,values: [0.0]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [building 1],slot:object_name,values: [building 1] || Risk of physical damage! There's a building only 1m away. 
risk_of_physical_damage: warning | object_distance: 1 | pilot_experienced: 0.0 | object_distance: 1 | normal_frame: 0.0   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [0.0],slot:pilot_experienced,values: [0.0]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's water only 1m away. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 5 | altitude: 1.0 | battery_level: 40.0 | normal_frame: 0.0 | object_name: tree 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [40.0],slot:battery_level,values: [40.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 1m.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 5m. 
risk_of_physical_damage: informative | object_inpath:true | object_distance: 3 | object_name: drone   |   act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [3],slot:object_distance,values: [3]| act:INFORM,canonical_values: [drone],slot:object_name,values: [drone] || Risk of physical damage! There's a drone in the drone's flight path at a distance of 3m. 
risk_of_physical_damage: advisory | altitude: 10.0 | battery_level: 20.0 | temperature: 6.0 | battery_level: 20.0   |   act:INFORM,canonical_values: [advisory],slot:risk_of_physical_damage,values: [advisory]| act:INFORM,canonical_values: [10.0],slot:altitude,values: [10.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [6.0],slot:temperature,values: [6.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]|| Risk of physical damage and lost connection! The drone has low battery. It's flying at an altitude of 10m in a low-temperature setting. The drone is 4258m away from the remote control. 
risk_of_physical_damage: warning | object_distance: 0.5 | object_inpath:true | object_distance: 0.5 | altitude: 20.0 | battery_level: 40.0 | normal_frame: False | object_name: tree leaves   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [20.0],slot:altitude,values: [20.0]| act:INFORM,canonical_values: [40.0],slot:battery_level,values: [40.0]| act:INFORM,canonical_values: [False],slot:normal_frame,values: [False]| act:INFORM,canonical_values: [tree leaves],slot:object_name,values: [tree leaves]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 20m.     Risk of physical damage! There are leaves in the drone's flight path at a distance of .5m. 
risk_of_physical_damage: warning | object_distance: 1 | pilot_experienced: False | object_distance: 1 | altitude: 1.0 | battery_level: 0.0 | normal_frame: False   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [0.0],slot:battery_level,values: [0.0]| act:INFORM,canonical_values: [False],slot:normal_frame,values: [False]|| Risk of physical damage! The drone has a damaged frame and empty battery. It's flying at an altitude of 1m.     Risk of physical damage! There's a container ship only 1m away. 
risk_of_physical_damage: warning | altitude: 1.5 | battery_level: 40.0 | object_distance: 0.2 | object_distance: 0.2 | object_type: Car | object_inpath:true | object_distance: 0.2   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1.5],slot:altitude,values: [1.5]| act:INFORM,canonical_values: [40.0],slot:battery_level,values: [40.0]| act:INFORM,canonical_values: [0.2],slot:object_distance,values: [0.2]| act:INFORM,canonical_values: [0.2],slot:object_distance,values: [0.2]| act:INFORM,canonical_values: [Car],slot:object_type,values: [Car]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [0.2],slot:object_distance,values: [0.2]|| Risk of physical damage! The drone has low battery. It's flying at an altitude of 1.5m.     Risk of physical damage! There's a car in the drone's flight path at a distance of .2m. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 3 | altitude: 1.0 | battery_level: 20.0 | normal_frame: 0.0 | object_name: tree 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [3],slot:object_distance,values: [3]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 8m. 
lost_connection: 1.0 | distance_from_remote_control: 4490.0 | battery_level: 20.0 | risk_of_physical_damage: advisory | object_distance: 2 | pilot_experienced: 0.0 | object_distance: 2 | object_inpath:true | object_distance: 2 | altitude: 13.0 | battery_level: 20.0 | wind_speed: 18.0 | battery_level: 20.0 | object_name: storehouse   |   act:INFORM,canonical_values: [1.0],slot:lost_connection,values: [1.0]| act:INFORM,canonical_values: [4490.0],slot:distance_from_remote_control,values: [4490.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [advisory],slot:risk_of_physical_damage,values: [advisory]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [0.0],slot:pilot_experienced,values: [0.0]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [13.0],slot:altitude,values: [13.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [18.0],slot:wind_speed,values: [18.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [storehouse],slot:object_name,values: [storehouse]|| Risk of physical damage and lost connection! The drone has low battery. It's flying in strong wind at an altitude of 13m. The drone is 4490m away from the remote control.     Risk of physical damage! There's a storehouse in the drone's flight path at a distance of 2m. 
risk_of_physical_damage: advisory | object_distance: 2 | pilot_experienced: 0.0 | object_distance: 2 | altitude: 3.0 | battery_level: 20.0   |   act:INFORM,canonical_values: [advisory],slot:risk_of_physical_damage,values: [advisory]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [0.0],slot:pilot_experienced,values: [0.0]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [3.0],slot:altitude,values: [3.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]|| Risk of physical damage! The drone has low battery. It's flying at an altitude of 3m.     Risk of physical damage! There's a storehouse only 2m away. 
